,Company Name,Industry,Symbol,eps,bv,insider_h,inst_h,float_pc
180,Gujarat Fluorochemicals Ltd.,CHEMICALS,FLUOROCHEM,-28.13,352.181,76.462996,6.232999599999999,0.22956929449248975
181,Gujarat Gas Ltd.,OIL & GAS,GUJGASLTD,17.09,54.709,74.953,15.463,0.2504174595698959
182,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,GNFC,44.84,390.438,42.629,19.368,0.5673851553601474
183,Gujarat Pipavav Port Ltd.,SERVICES,GPPL,4.59,46.229,44.005,42.305002,0.549164827072646
184,Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC,11.3,231.868,46.076,20.502001,0.5558855046096194
185,Gujarat State Petronet Ltd.,OIL & GAS,GSPL,27.874,97.348,50.259,34.342,0.3992158373485687
186,Gulf Oil Lubricants India Ltd.,OIL & GAS,GULFOILLUB,39.7,172.901,72.495,16.988,0.25961808991309115
187,H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,HEG,-4.65,906.373,60.192,13.722000000000001,0.027346480084499386
188,HCL Technologies Ltd.,IT,HCLTECH,45.191,3.096,60.464,22.851999,0.3957893009571546
189,HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,HDFCAMC,62.16,224.242,54.529,31.764,0.4456873022821824
190,HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,57.6,380.624,21.641001000000003,38.234,0.8352563648584629
191,HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,6.69,42.514,50.176,40.514,0.40971886284334147
192,HFCL Ltd.,TELECOM,HFCL,1.86,14.937,48.503,1.195,0.656911272348401
193,Happiest Minds Technologies Ltd.,IT,HAPPSTMNDS,11.45,38.621,60.76200000000001,13.056000000000001,0.3357867550931474
194,Hatsun Agro Product Ltd.,CONSUMER GOODS,HATSUN,11.428,47.388,75.917,8.366,0.2071503010386643
195,Havells India Ltd.,CONSUMER GOODS,HAVELLS,16.68,82.629,64.9,19.284001,0.3413300741847862
196,HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS,HEIDELBERG,13.9,65.949,73.143,14.32,0.30453637450760107
197,Hemisphere Properties India Ltd.,CONSTRUCTION,HEMIPROP,-0.044,9.968,66.511,15.296999999999999,0.2530162561403509
198,Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,146.04,771.748,36.565999999999995,36.213002,0.6515109715200961
199,Himadri Speciality Chemical Ltd.,CHEMICALS,HSCL,2.253,41.91,46.206,13.241,0.4021653675541464
200,Hindalco Industries Ltd.,METALS,HINDALCO,15.65,299.191,35.522,39.457,0.6130577328305298
201,Hindustan Aeronautics Ltd.,INDUSTRIAL MANUFACTURING,HAL,85.043,418.311,75.14999999999999,19.336000000000002,0.24853330126988665
202,Hindustan Copper Ltd.,METALS,HINDCOPPER,-3.971,10.85,72.765,12.443,0.26071999867635137
203,Hindustan Petroleum Corporation Ltd.,OIL & GAS,HINDPETRO,70.57,257.671,54.92,26.722,0.4600920669969525
204,Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,34.026,202.905,62.147,16.282,0.365266549123777
205,Hindustan Zinc Ltd.,METALS,HINDZINC,18.89,76.452,94.45700000000001,3.034,0.052775681694556535
206,Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING,HONAUT,520.32,2916.786,75.158,12.186,0.24431885015246246
207,Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES,HUDCO,7.46,62.395,89.807,2.191,0.10172674746228287
